Name,Type,Nominal,Low tolerance,High tolerance,Meas 01,Meas 02,Meas 03,Meas 04,Meas 05,Meas 06,Meas 07,Meas 08,Meas 09,Meas 10,Meas 11,Meas 12,Meas 13,Meas 14,Mean,Standard deviation,Min value,Max value,Range,Status
GAP_A-B_2,Z,799.5920,-0.5000,0.5000,799.1891,799.2290,799.2576,799.2957,799.2158,799.2372,799.2677,799.2584,799.2276,799.2447,799.2595,799.2686,799.2358,799.2273,799.2439,0.0266,799.2957,799.1891,0.1066,100
GAP_A-B_2,Point-Profile,0.0000,-0.5000,0.5000,-0.7665,-0.6927,-0.6461,-0.5754,-0.7184,-0.6844,-0.6315,-0.6404,-0.6950,-0.6571,-0.6394,-0.6232,-0.6854,-0.6917,-0.6677,0.0471,-0.5754,-0.7665,0.1911,0
GAP_A-B_3,X,553.0600,-0.5000,0.5000,553.7839,554.4125,554.0258,554.2633,553.7195,554.0854,554.2514,554.3218,553.6835,554.3850,554.2535,554.3707,554.0062,554.4037,554.1404,0.2597,554.4125,553.6835,0.7290,0
GAP_A-B_3,Y,-749.8190,-0.5000,0.5000,-749.4982,-749.2145,-749.3919,-749.2803,-749.5177,-749.3582,-749.2815,-749.2508,-749.5437,-749.2247,-749.2869,-749.2302,-749.3944,-749.2250,-749.3356,0.1163,-749.2145,-749.5437,0.3292,43
GAP_A-B_3,Z,801.3860,-0.5000,0.5000,801.5204,801.6385,801.5656,801.6101,801.5100,801.5780,801.6093,801.6221,801.5016,801.6339,801.6064,801.6319,801.5634,801.6344,801.5875,0.0484,801.6385,801.5016,0.1369,100
GAP_A-B_3,Point-Profile,0.0000,-0.5000,0.5000,-0.8031,-1.5028,-1.0712,-1.3373,-0.7356,-1.1405,-1.3260,-1.4038,-0.6913,-1.4732,-1.3252,-1.4578,-1.0522,-1.4900,-1.2007,0.2886,-0.6913,-1.5028,0.8115,0
GAP_A-B_4,X,556.8490,-0.5000,0.5000,557.5035,557.8753,557.7983,557.8486,557.4147,557.8331,557.8586,557.8754,557.3774,557.8308,557.8724,557.8457,557.8059,557.8495,557.7564,0.1792,557.8754,557.3774,0.4980,0
GAP_A-B_4,Y,-757.4460,-0.5000,0.5000,-756.7551,-756.3559,-756.4515,-756.3834,-756.8386,-756.4019,-756.3774,-756.3536,-756.8729,-756.4048,-756.3609,-756.3832,-756.4256,-756.3791,-756.4817,0.1879,-756.3536,-756.8729,0.5193,0
GAP_A-B_4,Z,799.6820,-0.5000,0.5000,799.7041,799.7172,799.7137,799.7160,799.7010,799.7156,799.7161,799.7171,799.7003,799.7152,799.7168,799.7161,799.7146,799.7161,799.7129,0.0061,799.7172,799.7003,0.0169,100
GAP_A-B_4,Point-Profile,0.0000,-0.5000,0.5000,-0.9519,-1.4975,-1.3751,-1.4592,-0.8302,-1.4351,-1.4704,-1.4993,-0.7796,-1.4314,-1.4919,-1.4574,-1.3992,-1.4629,-1.3244,0.2597,-0.7796,-1.4993,0.7197,0
